index	input	target
1	they do to !	they do not !
3	she okay ?	i hope so .
5	wow	let's go .
10	"the ""real you"" ."	like my fear of wearing pastels ?
11	what good stuff ?	"the ""real you"" ."
16	do you listen to this crap ?	what crap ?
17	no . . .	do you listen to this crap ?
20	but	you always been this selfish ?
21	then that's all you had to say .	but
22	well, no . . .	then that's all you had to say .
27	have fun tonight ?	tons
29	you know chastity ?	i believe we share an art instructor
30	looks like things worked out tonight, huh ?	you know chastity ?
31	hi .	looks like things worked out tonight, huh ?
42	you have my word . as a gentleman	you're sweet .
46	there .	where ?
50	that's because it's such a nice one .	forget french .
72	i have to be home in twenty minutes .	i don't have to be home 'til two .
80	great	would you mind getting me a drink, cameron ?
82	who ?	joey .
85	no .	you might wanna think about it
86	did you change your hair ?	no .
90	hi, joey .	you're concentrating awfully hard considering it's gym class .
91	hey, sweet cheeks .	hi, joey .
100	it's more	expensive ?
102	patrick -- is that- a .	perm ?
108	you set me up .	i just wanted --
109	let go !	you set me up .
111	you looked beautiful last night, you know .	so did you
116	i'm not stupid enough to repeat your mistakes .	i guess i thought i was protecting you .
117	that's not	i'm not stupid enough to repeat your mistakes .
129	he was, like, a total babe	but you hate joey
130	why ?	he was, like, a total babe
131	in 9th . for a month	why ?
132	what ?	in 9th . for a month
143	you are so completely unbalanced .	can we go now ?
160	where've you been ?	nowhere . . . hi, daddy .
168	the prom ? kat has a date ?	no, but
171	why ?	because she'll scare them away .
174	daddy, no !	just for a minute
175	wear the belly before you go .	daddy, no !
176	it's just a party . daddy .	wear the belly before you go .
177	oh, god . it's starting .	it's just a party . daddy .
179	daddy, people expect me to be there !	if kat's not going, you're not going .
184	daddy, i --	and where're you going ?
186	but she doesn't want to date .	exactly my point
201	buttholus extremus . but hey, you're making progress .	no, i ' m not .
207	assail your ears for one night .	it's her favorite band .
209	he's pretty !	okay ! i wasn't sure
211	her favorite uncle	dead at forty-one .
212	it's a lung cancer issue	her favorite uncle
213	number one . she hates smokers	it's a lung cancer issue
230	what makes you think he'll do it ?	he seems like he thrives on danger
232	what about him ?	you wanna go out with him ?
236	that's her ? bianca's sister ?	the mewling, rampalian wretch herself .
237	yeah, just a minor encounter with the shrew .	that's her ? bianca's sister ?
241	sure do . . . my mom's from canada	guess who just signed up for a tutor ?
242	you know french ?	sure do . . . my mom's from canada
251	you burn, you pine, you perish ?	who is she ?
252	that girl -- i --	you burn, you pine, you perish ?
256	how many people go here ?	couple thousand . most of them evil
257	get out !	how many people go here ?
258	thirty-two .	get out !
259	how many people were in your old school ?	thirty-two .
262	north, actually . how'd you  ?	i was kidding . people actually live there ?
263	so -- which dakota you from ?	north, actually . how'd you  ?
266	you the new guy ?	so they tell me . . .
268	what's the worst ?	you get the girl .
270	she kissed me .	where ?
271	you makin' any headway ?	she kissed me .
277	sure	then, go get her
278	cameron -- do you like the girl ?	sure
279	she's partial to joey, not me	cameron -- do you like the girl ?
280	what 're you talking about ?	she's partial to joey, not me
281	it's off . the whole thing .	what 're you talking about ?
282	cameron, i'm a little busy	it's off . the whole thing .
284	gigglepuss is playing there tomorrow night .	don't make me do it, man
292	leave my sister alone .	and why would i do that ?
