index	input	target
1	mereka lakukan untuk!	mereka tidak !
3	dia baik-baik saja?	saya berharap begitu .
5	wow	Ayo pergi .
10	"""Anda yang sebenarnya""."	seperti ketakutan saya memakai pastel?
11	barang bagus apa?	"""Anda yang sebenarnya""."
16	apakah kamu mendengarkan omong kosong ini?	omong kosong apa?
17	tidak . . .	apakah kamu mendengarkan omong kosong ini?
20	tapi	kamu selalu egois ini?
21	maka hanya itu yang harus Anda katakan.	tapi
22	baiklah, tidak. . .	maka hanya itu yang harus Anda katakan.
27	bersenang senang malam ini ?	ton
29	kamu tahu kesucian?	Saya percaya kami berbagi instruktur seni
30	Sepertinya semuanya berjalan malam ini, ya?	kamu tahu kesucian?
31	hai	Sepertinya semuanya berjalan malam ini, ya?
42	Kamu memengang perkataanku . sebagai seorang gentleman	kamu manis .
46	di sana.	dimana?
50	itu karena itu bagus.	lupakan perancis.
72	saya harus pulang dalam dua puluh menit.	saya tidak harus berada di rumah sampai dua jam.
80	besar	maukah kau memberiku minum, cameron?
82	siapa ?	joey.
85	tidak .	Anda mungkin ingin memikirkannya
86	apakah kamu mengubah rambutmu?	tidak .
90	hai, joey.	Anda berkonsentrasi sangat keras mengingat itu kelas olahraga.
91	Hei, pipi yang manis.	hai, joey.
100	itu lebih	mahal?
102	patrick - adalah itu- a.	perm?
108	Anda mengatur saya.	aku hanya ingin --
109	berangkat !	Anda mengatur saya.
111	Anda tampak cantik tadi malam, Anda tahu.	begitu juga kamu
116	Aku tidak cukup bodoh untuk mengulangi kesalahanmu.	Saya kira saya pikir saya melindungi Anda.
117	itu bukan	Aku tidak cukup bodoh untuk mengulangi kesalahanmu.
129	dia, seperti, sayang total	tapi kamu benci joey
130	kenapa?	dia, seperti, sayang total
131	pada tanggal 9. untuk sebulan	kenapa?
132	apa ?	pada tanggal 9. untuk sebulan
143	Anda benar-benar tidak seimbang.	Bisakah kita pergi sekarang ?
160	dari mana saja kamu?	tidak ada tempat. . . Hai ayah .
168	prom? kat punya kencan?	tidak tapi
171	kenapa?	karena dia akan menakut-nakuti mereka.
174	ayah, tidak!	hanya sebentar
175	Kenakan perutmu sebelum pergi.	ayah, tidak!
